Name,address,rating ,type,location
Indianapolis Zoo Gift Shop,1200 W Washington St,4.5,Gift shop,https://www.google.com/maps/place/Indianapolis+Zoo+Gift+Shop/data=!4m7!3m6!1s0x886b574d027a651b:0x790d264d65f3686b!8m2!3d39.7668264!4d-86.177279!16s%2Fg%2F11g73806j8!19sChIJG2V6Ak1Xa4gRa2jzZU0mDXk?authuser=0&hl=en&rclk=1
Black Sheep Gifts,5626 E Washington St,4.8,Gift shop,https://www.google.com/maps/place/Black+Sheep+Gifts/data=!4m7!3m6!1s0x886b4f957e79a347:0xfdc2bd8b5484a089!8m2!3d39.7709821!4d-86.0711798!16s%2Fg%2F1tscprrx!19sChIJR6N5fpVPa4gRiaCEVIu9wv0?authuser=0&hl=en&rclk=1
Parks Gift Shop,5320 Grapevine Dr,4.7,Gift shop,https://www.google.com/maps/place/Parks+Gift+Shop/data=!4m7!3m6!1s0x886b4bbf506526b1:0xfadb37c0fe3d8484!8m2!3d39.8509226!4d-85.9872448!16s%2Fg%2F1tv24w_9!19sChIJsSZlUL9La4gRhIQ9_sA32_o?authuser=0&hl=en&rclk=1
Mission 27 Resale,1618 Shelby St,4.5,Used clothing store,https://www.google.com/maps/place/Mission+27+Resale/data=!4m7!3m6!1s0x886b5b82616658c5:0x658db56d56c170b9!8m2!3d39.7460935!4d-86.1401165!16s%2Fg%2F11fsmql7s8!19sChIJxVhmYYJba4gRuXDBVm21jWU?authuser=0&hl=en&rclk=1
Two Chicks District Co.,1531 S East St,4.4,Home goods store,https://www.google.com/maps/place/Two+Chicks+District+Co./data=!4m7!3m6!1s0x886b5b4779ae98db:0x940a2781c41f4532!8m2!3d39.745809!4d-86.149106!16s%2Fg%2F11hzfrt61h!19sChIJ25iueUdba4gRMkUfxIEnCpQ?authuser=0&hl=en&rclk=1
Von Maur,6020 E 82nd St,4.4,Department store,https://www.google.com/maps/place/Von+Maur/data=!4m7!3m6!1s0x886b4d33e206ea97:0xfc46540c7e9c78bc!8m2!3d39.9097283!4d-86.0672975!16s%2Fg%2F1thxwzbb!19sChIJl-oG4jNNa4gRvHicfgxURvw?authuser=0&hl=en&rclk=1
Davis Mercantile,225 N Harrison St,4.6,Gift shop,https://www.google.com/maps/place/Davis+Mercantile/data=!4m7!3m6!1s0x8816578a4991d1f9:0x8d0424c4e55c9691!8m2!3d41.6776797!4d-85.5788243!16s%2Fg%2F1tlc8p20!19sChIJ-dGRSYpXFogRkZZc5cQkBI0?authuser=0&hl=en&rclk=1
Hot Topic,49 W Maryland St RM F-12C,4.4,Clothing store,https://www.google.com/maps/place/Hot+Topic/data=!4m7!3m6!1s0x886b50bc7d454c59:0x8aace8cd67a3530b!8m2!3d39.7656434!4d-86.159418!16s%2Fg%2F1tp1zkcp!19sChIJWUxFfbxQa4gRC1OjZ83orIo?authuser=0&hl=en&rclk=1
Stout's Footwear,318 Massachusetts Ave,4.6,Shoe store,https://www.google.com/maps/place/Stout's+Footwear/data=!4m7!3m6!1s0x886b50957280516f:0xba38f2b02703c013!8m2!3d39.7718959!4d-86.1536768!16s%2Fg%2F1vwlpwbt!19sChIJb1GAcpVQa4gRE8ADJ7DyOLo?authuser=0&hl=en&rclk=1
Francis + Fern Boutique,421 Massachusetts Ave,4.7,Women's clothing store,https://www.google.com/maps/place/Francis+%2B+Fern+Boutique/data=!4m7!3m6!1s0x886b51b84b4c91ff:0x68e04398050bfb4!8m2!3d39.7730536!4d-86.1515115!16s%2Fg%2F11rwq_ryxs!19sChIJ_5FMS7hRa4gRtL9QgDkEjgY?authuser=0&hl=en&rclk=1
